id_cliente;Recency;Frequency;Monetary;R_Score;F_Score;M_Score;RFM_Score;Cluster;Segmento;edad;ingresos_mensuales_aprox;segmento_programa;distrito
CLI00952;96;1;255.73;4;1;2;412;3;En Riesgo;71;6251.37;Platino;San Borja
CLI00953;533;1;84.52;1;1;1;111;2;Perdidos;50;9876.7;Platino;Magdalena
CLI00954;425;1;354.37;1;1;2;112;2;Perdidos;69;1074.59;Basico;Comas
CLI00955;53;1;575.3;4;1;3;413;3;En Riesgo;66;7555.7;Regular;Ate
CLI00956;163;6;1410.22;3;5;5;355;0;Leales;65;4089.01;Platino;San Borja
CLI00957;3;4;1362.8;5;4;5;545;0;Leales;50;10276.27;Premium;Miraflores
CLI00958;119;5;1516.28;4;4;5;445;0;Leales;36;9419.86;Platino;San Borja
CLI00959;563;1;57.01;1;1;1;111;2;Perdidos;41;9135.89;Premium;Magdalena
CLI00960;10;7;2223.99;5;5;5;555;0;Leales;67;3214.61;Premium;San Miguel
CLI00961;10;3;530.01;5;3;3;533;3;En Riesgo;52;3059.15;Regular;Ate
CLI00962;200;4;1482.2;3;4;5;345;0;Leales;25;2504.07;Basico;Ate
CLI00963;41;5;1414.27;4;4;5;445;0;Leales;66;8281.07;Regular;Magdalena
CLI00964;282;2;381.48;2;2;2;222;3;En Riesgo;68;4840.13;Regular;Miraflores
CLI00965;103;5;1014.29;4;4;4;444;0;Leales;45;5780.9;Premium;Los Olivos
CLI00966;56;2;428.6;4;2;2;422;3;En Riesgo;58;3738.07;Platino;San Miguel
CLI00967;168;5;1316.63;3;4;5;345;0;Leales;36;10142.48;Premium;Comas
CLI00968;26;1;315.72;4;1;2;412;3;En Riesgo;72;10246.51;Regular;San Miguel
CLI00969;166;2;823.27;3;2;4;324;3;En Riesgo;18;1519.25;Basico;Santiago de Surco
CLI00970;238;1;648.02;2;1;3;213;3;En Riesgo;62;9932.95;Regular;San Borja
CLI00971;103;3;731.51;4;3;3;433;3;En Riesgo;40;11882.41;Regular;Miraflores
CLI00972;41;1;144.09;4;1;1;411;3;En Riesgo;20;9396.91;Regular;San Borja
CLI00973;19;9;2249.75;5;5;5;555;1;Campeones;23;5407.24;Regular;Miraflores
CLI00974;12;7;2080.48;5;5;5;555;0;Leales;52;10682.36;Regular;Ate
CLI00975;408;2;676.07;1;2;3;123;2;Perdidos;54;7106.22;Premium;San Miguel
CLI00976;386;3;743.27;2;3;3;233;2;Perdidos;67;10197.53;Regular;San Borja
CLI00978;19;3;752.45;5;3;3;533;3;En Riesgo;37;4372.27;Platino;Miraflores
CLI00980;1;7;2429.6;5;5;5;555;0;Leales;59;3620.63;Regular;Los Olivos
CLI00981;514;1;174.87;1;1;1;111;2;Perdidos;34;4684.59;Premium;Los Olivos
CLI00982;32;5;1343.8;4;4;5;445;0;Leales;44;10184.57;Regular;San Borja
CLI00985;434;4;1113.64;1;4;4;144;2;Perdidos;55;5149.53;Platino;Miraflores
CLI00988;155;1;23.12;3;1;1;311;3;En Riesgo;73;7207.46;Premium;San Miguel
CLI00989;710;1;232.46;1;1;1;111;2;Perdidos;62;9499.98;Platino;San Borja
CLI00990;175;4;810.5;3;4;4;344;3;En Riesgo;37;2324.76;Basico;San Miguel
CLI00991;160;1;38.48;3;1;1;311;3;En Riesgo;37;5192.71;Premium;Santiago de Surco
CLI00993;187;3;1161.72;3;3;4;334;3;En Riesgo;56;1919.15;Basico;Santiago de Surco
CLI00994;464;1;129.7;1;1;1;111;2;Perdidos;40;10912.37;Regular;Magdalena
CLI00995;49;4;658.2;4;4;3;443;3;En Riesgo;51;8036.36;Platino;Comas
CLI00997;11;1;422.28;5;1;2;512;3;En Riesgo;52;7864.24;Platino;San Juan de Lurigancho
CLI00999;99;2;841.96;4;2;4;424;3;En Riesgo;21;5174.38;Platino;San Miguel
CLI01000;372;2;742.14;2;2;3;223;2;Perdidos;40;2618.47;Basico;Magdalena
CLI01001;30;7;1670.58;4;5;5;455;0;Leales;64;10120.14;Platino;San Juan de Lurigancho
CLI01002;532;4;753.7;1;4;3;143;2;Perdidos;31;7037.42;Regular;Magdalena
CLI01003;173;7;1524.0;3;5;5;355;0;Leales;19;2677.59;Basico;San Borja
CLI01004;270;1;15.45;2;1;1;211;3;En Riesgo;25;10604.18;Premium;Miraflores
CLI01005;211;5;1257.1;2;4;4;244;0;Leales;41;8069.64;Platino;Los Olivos
CLI01006;611;1;440.03;1;1;2;112;2;Perdidos;56;5864.04;Platino;Miraflores
CLI01007;445;1;77.72;1;1;1;111;2;Perdidos;69;2573.86;Basico;Miraflores
CLI01010;481;1;134.36;1;1;1;111;2;Perdidos;60;10468.37;Premium;San Miguel
CLI01011;122;7;1841.03;4;5;5;455;0;Leales;67;3210.93;Regular;San Miguel
CLI01012;714;1;195.7;1;1;1;111;2;Perdidos;56;2347.95;Basico;Magdalena
CLI01014;20;13;3131.54;5;5;5;555;1;Campeones;45;3554.06;Platino;Ate
CLI01015;104;2;237.94;4;2;1;421;3;En Riesgo;23;6936.52;Platino;Santiago de Surco
CLI01016;301;1;317.15;2;1;2;212;2;Perdidos;21;2454.14;Basico;Santiago de Surco
CLI01017;67;5;1028.72;4;4;4;444;0;Leales;58;5830.98;Regular;Miraflores
CLI01018;241;1;118.54;2;1;1;211;3;En Riesgo;63;1213.74;Basico;Ate
CLI01019;149;7;1845.9;3;5;5;355;0;Leales;53;1801.01;Basico;Santiago de Surco
CLI01023;190;5;1048.29;3;4;4;344;0;Leales;27;6356.99;Premium;Ate
CLI01024;28;3;700.44;4;3;3;433;3;En Riesgo;64;7241.16;Platino;San Juan de Lurigancho
CLI01026;220;1;113.87;2;1;1;211;3;En Riesgo;56;9415.02;Platino;Miraflores
CLI01027;376;3;739.42;2;3;3;233;2;Perdidos;31;4568.39;Premium;San Miguel
CLI01028;379;3;606.18;2;3;3;233;2;Perdidos;51;2433.63;Basico;Ate
CLI01029;25;4;865.51;5;4;4;544;3;En Riesgo;56;10111.29;Platino;Los Olivos
CLI01031;202;3;822.72;3;3;4;334;3;En Riesgo;60;2587.47;Basico;San Juan de Lurigancho
CLI01033;383;1;322.48;2;1;2;212;2;Perdidos;42;3811.17;Premium;San Juan de Lurigancho
CLI01034;386;1;84.98;2;1;1;211;2;Perdidos;50;2575.88;Basico;Santiago de Surco
CLI01035;16;5;582.31;5;4;3;543;3;En Riesgo;24;10646.88;Regular;Los Olivos
CLI01037;360;1;200.13;2;1;1;211;2;Perdidos;53;4217.49;Regular;Los Olivos
CLI01039;360;1;244.4;2;1;2;212;2;Perdidos;51;9755.34;Platino;Santiago de Surco
CLI01040;526;2;261.86;1;2;2;122;2;Perdidos;53;7551.52;Premium;San Borja
CLI01042;3;2;137.43;5;2;1;521;3;En Riesgo;50;10683.35;Regular;San Borja
CLI01043;11;10;2410.14;5;5;5;555;1;Campeones;63;8830.14;Premium;San Borja
CLI01044;101;4;1121.63;4;4;4;444;0;Leales;19;4697.1;Platino;Los Olivos
CLI01046;16;4;754.48;5;4;3;543;3;En Riesgo;45;4450.21;Regular;Miraflores
CLI01047;174;1;286.18;3;1;2;312;3;En Riesgo;36;7344.35;Regular;Santiago de Surco
CLI01048;119;4;939.13;4;4;4;444;3;En Riesgo;44;8194.7;Premium;San Juan de Lurigancho
CLI01049;240;4;1270.85;2;4;4;244;0;Leales;58;11589.53;Premium;Santiago de Surco
CLI01050;6;2;257.49;5;2;2;522;3;En Riesgo;46;10666.23;Platino;Miraflores
CLI01052;355;4;701.43;2;4;3;243;2;Perdidos;30;3215.1;Regular;Comas
CLI01053;171;1;396.65;3;1;2;312;3;En Riesgo;48;2920.86;Regular;San Borja
CLI01054;17;7;1530.27;5;5;5;555;0;Leales;65;8743.97;Regular;San Juan de Lurigancho
CLI01055;170;6;754.58;3;5;3;353;0;Leales;41;1120.29;Basico;San Borja
CLI01056;86;3;1060.3;4;3;4;434;3;En Riesgo;65;7060.46;Platino;San Miguel
CLI01058;81;1;143.44;4;1;1;411;3;En Riesgo;40;5349.75;Premium;Los Olivos
CLI01059;122;2;745.65;4;2;3;423;3;En Riesgo;39;8153.94;Regular;Los Olivos
CLI01062;476;1;450.66;1;1;2;112;2;Perdidos;56;2287.18;Basico;San Juan de Lurigancho
CLI01063;67;6;1717.19;4;5;5;455;0;Leales;57;4238.28;Platino;Miraflores
CLI01064;528;1;342.16;1;1;2;112;2;Perdidos;44;10084.58;Regular;Los Olivos
CLI01065;641;1;236.45;1;1;1;111;2;Perdidos;43;3704.35;Premium;San Borja
CLI01066;28;2;664.52;4;2;3;423;3;En Riesgo;29;10159.2;Platino;Ate
CLI01067;212;1;211.4;2;1;1;211;3;En Riesgo;71;7261.75;Platino;Magdalena
CLI01068;32;7;2091.61;4;5;5;455;0;Leales;26;9145.72;Platino;San Juan de Lurigancho
CLI01070;482;1;311.52;1;1;2;112;2;Perdidos;36;1250.87;Basico;Miraflores
CLI01071;53;4;818.04;4;4;4;444;3;En Riesgo;35;6585.88;Platino;Comas
CLI01073;18;9;2138.12;5;5;5;555;1;Campeones;43;5462.16;Premium;Magdalena
CLI01074;153;1;215.19;3;1;1;311;3;En Riesgo;27;1609.81;Basico;Miraflores
CLI01075;36;1;296.0;4;1;2;412;3;En Riesgo;37;11613.69;Premium;Santiago de Surco
CLI01076;384;4;363.06;2;4;2;242;2;Perdidos;48;4249.95;Regular;San Juan de Lurigancho
CLI01077;544;2;287.29;1;2;2;122;2;Perdidos;25;4486.08;Premium;San Miguel
CLI01078;183;1;168.59;3;1;1;311;3;En Riesgo;20;1595.2;Basico;San Borja
CLI01079;10;1;229.4;5;1;1;511;3;En Riesgo;45;4802.24;Platino;Santiago de Surco
CLI01080;9;12;2280.1;5;5;5;555;1;Campeones;39;7343.27;Premium;Los Olivos
CLI01081;154;2;457.07;3;2;2;322;3;En Riesgo;47;9767.23;Premium;Miraflores
CLI01082;534;2;379.3;1;2;2;122;2;Perdidos;71;3355.67;Premium;Santiago de Surco
CLI01084;137;6;1827.05;3;5;5;355;0;Leales;46;6799.33;Regular;Miraflores
CLI01085;99;1;195.11;4;1;1;411;3;En Riesgo;47;7181.93;Platino;Santiago de Surco
CLI01087;161;1;416.02;3;1;2;312;3;En Riesgo;55;11858.66;Premium;Los Olivos
CLI01089;20;5;1091.67;5;4;4;544;0;Leales;33;7580.18;Platino;San Borja
CLI01092;86;12;3674.09;4;5;5;455;1;Campeones;21;3746.59;Regular;Magdalena
CLI01094;539;2;399.12;1;2;2;122;2;Perdidos;57;6138.33;Platino;Los Olivos
CLI01095;249;5;1628.23;2;4;5;245;0;Leales;49;3474.38;Premium;Comas
CLI01096;22;2;561.23;5;2;3;523;3;En Riesgo;66;11381.06;Premium;Comas
CLI01097;291;2;435.65;2;2;2;222;3;En Riesgo;48;7572.69;Platino;Santiago de Surco
CLI01098;179;4;935.87;3;4;4;344;3;En Riesgo;58;2245.21;Basico;Magdalena
CLI01100;529;1;160.8;1;1;1;111;2;Perdidos;31;8894.7;Regular;Miraflores
CLI01101;638;1;299.32;1;1;2;112;2;Perdidos;73;5478.73;Premium;San Borja
CLI01102;184;1;160.08;3;1;1;311;3;En Riesgo;65;2374.64;Basico;Ate
CLI01103;343;2;100.98;2;2;1;221;2;Perdidos;18;7301.44;Premium;Santiago de Surco
CLI01104;543;2;372.46;1;2;2;122;2;Perdidos;24;1477.03;Basico;Comas
CLI01105;361;1;309.63;2;1;2;212;2;Perdidos;32;1679.85;Basico;San Borja
CLI01106;217;1;370.55;2;1;2;212;3;En Riesgo;36;7582.86;Premium;Los Olivos
CLI01107;52;1;270.92;4;1;2;412;3;En Riesgo;33;5836.8;Platino;San Juan de Lurigancho
CLI01110;4;9;3029.14;5;5;5;555;1;Campeones;30;3552.29;Platino;Miraflores
CLI01111;437;1;104.95;1;1;1;111;2;Perdidos;59;6590.54;Platino;San Juan de Lurigancho
CLI01113;368;2;404.02;2;2;2;222;2;Perdidos;29;8714.46;Premium;Santiago de Surco
CLI01114;414;1;301.3;1;1;2;112;2;Perdidos;24;11848.1;Platino;Santiago de Surco
CLI01117;3;23;5289.64;5;5;5;555;1;Campeones;33;8885.43;Premium;Ate
CLI01118;495;1;284.69;1;1;2;112;2;Perdidos;19;8912.25;Platino;San Juan de Lurigancho
CLI01119;20;17;4920.41;5;5;5;555;1;Campeones;26;4951.26;Regular;San Borja
CLI01120;204;2;512.92;3;2;3;323;3;En Riesgo;44;8059.83;Regular;Magdalena
CLI01122;5;3;733.67;5;3;3;533;3;En Riesgo;68;4621.02;Premium;San Juan de Lurigancho
CLI01123;391;3;470.14;1;3;2;132;2;Perdidos;69;8709.64;Regular;Santiago de Surco
CLI01124;201;12;2990.33;3;5;5;355;1;Campeones;49;2091.86;Basico;Los Olivos
CLI01125;126;6;1804.28;4;5;5;455;0;Leales;55;2282.64;Basico;Miraflores
CLI01126;378;1;769.81;2;1;3;213;2;Perdidos;63;3938.74;Regular;San Juan de Lurigancho
CLI01127;177;5;856.63;3;4;4;344;0;Leales;68;11080.23;Regular;Miraflores
CLI01129;30;3;427.64;4;3;2;432;3;En Riesgo;36;4112.52;Regular;San Juan de Lurigancho
CLI01130;391;2;493.03;1;2;3;123;2;Perdidos;56;1304.18;Basico;San Miguel
CLI01131;294;3;839.04;2;3;4;234;3;En Riesgo;38;3788.46;Regular;Miraflores
CLI01133;523;2;77.61;1;2;1;121;2;Perdidos;33;9860.93;Platino;Magdalena
CLI01134;31;5;1277.1;4;4;4;444;0;Leales;33;11931.41;Premium;San Juan de Lurigancho
CLI01136;2;11;2350.36;5;5;5;555;1;Campeones;57;10277.0;Platino;San Juan de Lurigancho
CLI01137;170;2;886.51;3;2;4;324;3;En Riesgo;19;2420.7;Basico;Los Olivos
CLI01139;387;4;570.18;2;4;3;243;2;Perdidos;37;2097.42;Basico;Santiago de Surco
CLI01140;29;5;604.88;4;4;3;443;3;En Riesgo;72;3128.87;Regular;San Juan de Lurigancho
CLI01144;364;2;488.67;2;2;3;223;2;Perdidos;72;1429.28;Basico;Comas
CLI01145;328;2;273.83;2;2;2;222;2;Perdidos;36;4681.62;Premium;San Juan de Lurigancho
CLI01146;727;1;147.1;1;1;1;111;2;Perdidos;32;1656.42;Basico;Los Olivos
CLI01148;387;1;214.43;2;1;1;211;2;Perdidos;59;7991.58;Regular;San Miguel
CLI01150;229;1;143.82;2;1;1;211;3;En Riesgo;64;1455.38;Basico;Comas
CLI01152;185;3;490.44;3;3;3;333;3;En Riesgo;26;1130.5;Basico;San Juan de Lurigancho
CLI01153;23;1;336.48;5;1;2;512;3;En Riesgo;22;9570.63;Platino;Magdalena
CLI01155;572;1;195.54;1;1;1;111;2;Perdidos;20;11995.59;Premium;Ate
CLI01157;168;6;2286.46;3;5;5;355;0;Leales;36;1142.85;Basico;Ate
CLI01158;69;4;849.36;4;4;4;444;3;En Riesgo;55;10520.54;Platino;San Miguel
CLI01160;9;3;686.83;5;3;3;533;3;En Riesgo;26;11717.02;Platino;San Borja
CLI01163;9;6;1031.99;5;5;4;554;0;Leales;49;5922.74;Platino;San Miguel
CLI01164;10;6;1554.06;5;5;5;555;0;Leales;51;1882.35;Basico;San Miguel
CLI01165;13;1;224.36;5;1;1;511;3;En Riesgo;34;11623.11;Regular;Magdalena
CLI01166;3;6;1046.76;5;5;4;554;0;Leales;42;8215.02;Regular;San Miguel
CLI01167;18;8;1393.28;5;5;5;555;0;Leales;41;3592.92;Regular;San Borja
CLI01169;2;2;433.56;5;2;2;522;3;En Riesgo;59;4449.26;Premium;San Borja
CLI01170;129;4;936.01;4;4;4;444;3;En Riesgo;49;6127.18;Platino;Ate
CLI01171;26;12;3086.26;4;5;5;455;1;Campeones;64;5504.14;Regular;Magdalena
CLI01173;707;1;24.27;1;1;1;111;2;Perdidos;32;6952.16;Platino;San Miguel
CLI01174;321;4;698.03;2;4;3;243;2;Perdidos;68;1295.88;Basico;San Juan de Lurigancho
CLI01176;610;1;151.18;1;1;1;111;2;Perdidos;38;8952.04;Platino;San Miguel
CLI01177;179;3;505.92;3;3;3;333;3;En Riesgo;18;8639.29;Regular;Santiago de Surco
CLI01178;543;1;50.51;1;1;1;111;2;Perdidos;70;7327.15;Platino;San Miguel
CLI01179;472;1;318.07;1;1;2;112;2;Perdidos;25;10558.43;Premium;San Borja
CLI01180;4;6;2061.56;5;5;5;555;0;Leales;68;10367.26;Regular;Magdalena
CLI01181;3;2;607.73;5;2;3;523;3;En Riesgo;28;3465.23;Premium;Ate
CLI01182;13;6;1877.65;5;5;5;555;0;Leales;60;3763.66;Premium;San Borja
CLI01184;487;3;974.56;1;3;4;134;2;Perdidos;25;8873.92;Platino;Comas
CLI01185;198;4;1155.59;3;4;4;344;0;Leales;32;1553.78;Basico;Los Olivos
CLI01186;90;3;174.56;4;3;1;431;3;En Riesgo;43;3189.95;Platino;San Juan de Lurigancho
CLI01188;184;1;227.04;3;1;1;311;3;En Riesgo;48;9171.39;Regular;San Borja
CLI01189;98;5;1307.38;4;4;4;444;0;Leales;48;11169.83;Platino;Magdalena
CLI01192;51;6;1196.68;4;5;4;454;0;Leales;64;10250.4;Premium;Los Olivos
CLI01193;56;3;510.85;4;3;3;433;3;En Riesgo;36;5842.14;Platino;Magdalena
CLI01194;12;3;589.7;5;3;3;533;3;En Riesgo;22;3833.32;Premium;San Miguel
CLI01195;547;1;4.14;1;1;1;111;2;Perdidos;31;3555.27;Premium;Miraflores
CLI01197;565;1;214.87;1;1;1;111;2;Perdidos;38;2110.84;Basico;Ate
CLI01198;389;1;130.56;1;1;1;111;2;Perdidos;70;1372.39;Basico;San Borja
CLI01199;14;7;1968.44;5;5;5;555;0;Leales;23;5658.71;Premium;Magdalena
CLI01200;386;1;288.54;2;1;2;212;2;Perdidos;30;6796.15;Premium;San Juan de Lurigancho
CLI01201;222;6;1512.19;2;5;5;255;0;Leales;26;1359.88;Basico;Comas
CLI01202;533;4;1278.55;1;4;4;144;2;Perdidos;68;5143.96;Premium;Ate
CLI01203;160;4;616.06;3;4;3;343;3;En Riesgo;41;8301.51;Platino;San Miguel
CLI01205;538;1;327.62;1;1;2;112;2;Perdidos;60;5700.82;Premium;Los Olivos
CLI01209;492;1;104.2;1;1;1;111;2;Perdidos;39;5874.17;Platino;San Miguel
CLI01213;54;4;972.97;4;4;4;444;0;Leales;22;11321.45;Premium;San Miguel
CLI01214;44;2;1235.87;4;2;4;424;3;En Riesgo;34;5135.47;Premium;San Borja
CLI01215;116;4;1099.79;4;4;4;444;0;Leales;39;5239.95;Regular;San Juan de Lurigancho
CLI01218;566;2;488.33;1;2;3;123;2;Perdidos;61;4235.69;Regular;Santiago de Surco
CLI01220;66;4;807.21;4;4;4;444;3;En Riesgo;67;10868.12;Platino;Magdalena
CLI01221;17;10;2969.94;5;5;5;555;1;Campeones;56;7201.31;Premium;Los Olivos
CLI01224;160;1;54.82;3;1;1;311;3;En Riesgo;27;11409.14;Platino;Los Olivos
CLI01225;157;2;424.7;3;2;2;322;3;En Riesgo;18;1505.63;Basico;Comas
CLI01226;112;1;217.91;4;1;1;411;3;En Riesgo;63;5342.1;Premium;Los Olivos
CLI01228;70;4;1113.81;4;4;4;444;0;Leales;48;6193.86;Platino;Comas
CLI01230;396;1;275.34;1;1;2;112;2;Perdidos;48;8057.87;Platino;Miraflores
CLI01232;177;2;241.66;3;2;1;321;3;En Riesgo;66;2546.62;Basico;San Juan de Lurigancho
CLI01233;460;4;1131.95;1;4;4;144;2;Perdidos;68;8720.72;Regular;Miraflores
CLI01234;79;7;1856.79;4;5;5;455;0;Leales;48;9174.65;Regular;San Miguel
CLI01235;146;3;737.46;3;3;3;333;3;En Riesgo;39;10699.34;Premium;San Juan de Lurigancho
CLI01236;379;4;779.73;2;4;4;244;2;Perdidos;44;1540.51;Basico;Magdalena
CLI01237;48;1;270.28;4;1;2;412;3;En Riesgo;18;8695.83;Premium;San Juan de Lurigancho
CLI01239;639;1;133.25;1;1;1;111;2;Perdidos;23;7733.94;Regular;San Borja
CLI01240;210;4;826.09;2;4;4;244;3;En Riesgo;23;2327.99;Basico;Santiago de Surco
CLI01241;172;4;850.53;3;4;4;344;3;En Riesgo;29;6411.51;Regular;Santiago de Surco
CLI01242;30;5;1003.31;4;4;4;444;0;Leales;24;8115.03;Regular;Santiago de Surco
CLI01244;28;3;753.04;4;3;3;433;3;En Riesgo;22;9323.69;Regular;San Juan de Lurigancho
CLI01245;179;3;1105.31;3;3;4;334;3;En Riesgo;68;7536.89;Regular;Magdalena
CLI01247;10;1;261.07;5;1;2;512;3;En Riesgo;32;4546.63;Premium;Miraflores
CLI01248;154;4;962.18;3;4;4;344;3;En Riesgo;57;9469.14;Regular;San Juan de Lurigancho
CLI01249;131;5;902.81;3;4;4;344;0;Leales;38;7139.68;Premium;Ate
CLI01250;239;6;1066.8;2;5;4;254;0;Leales;54;2127.88;Basico;San Borja
CLI01251;549;1;94.13;1;1;1;111;2;Perdidos;47;4213.25;Regular;Magdalena
CLI01252;109;2;714.22;4;2;3;423;3;En Riesgo;30;8488.49;Platino;Comas
CLI01253;1;8;1318.26;5;5;5;555;0;Leales;18;4845.27;Platino;San Miguel
CLI01255;211;1;376.32;2;1;2;212;3;En Riesgo;66;7299.75;Platino;San Borja
CLI01256;38;1;495.68;4;1;3;413;3;En Riesgo;63;4689.42;Platino;Los Olivos
CLI01257;10;3;1342.46;5;3;5;535;0;Leales;62;8217.01;Premium;Ate
CLI01258;115;4;694.46;4;4;3;443;3;En Riesgo;33;6119.01;Premium;Comas
CLI01259;202;2;342.05;3;2;2;322;3;En Riesgo;54;6658.31;Premium;Miraflores
CLI01260;266;2;558.23;2;2;3;223;3;En Riesgo;19;7472.2;Premium;Los Olivos
CLI01261;16;7;1544.3;5;5;5;555;0;Leales;63;8016.03;Regular;Santiago de Surco
CLI01262;284;2;289.13;2;2;2;222;3;En Riesgo;64;4628.5;Regular;Comas
CLI01264;240;1;614.94;2;1;3;213;3;En Riesgo;56;1284.69;Basico;Comas
CLI01265;411;1;85.48;1;1;1;111;2;Perdidos;63;7505.23;Premium;San Borja
CLI01266;241;1;98.93;2;1;1;211;3;En Riesgo;27;5017.01;Premium;Magdalena
CLI01268;380;3;385.92;2;3;2;232;2;Perdidos;59;2952.01;Premium;Miraflores
CLI01269;141;3;284.75;3;3;2;332;3;En Riesgo;44;10815.69;Premium;Santiago de Surco
CLI01271;437;1;194.39;1;1;1;111;2;Perdidos;21;2245.08;Basico;Comas
CLI01272;468;2;618.09;1;2;3;123;2;Perdidos;69;4074.64;Platino;Magdalena
CLI01273;137;2;365.99;3;2;2;322;3;En Riesgo;52;2042.79;Basico;Santiago de Surco
CLI01274;3;3;530.46;5;3;3;533;3;En Riesgo;60;6246.78;Platino;Santiago de Surco
CLI01277;154;2;377.16;3;2;2;322;3;En Riesgo;35;3737.51;Premium;San Borja
CLI01278;34;6;1279.4;4;5;4;454;0;Leales;38;5171.18;Regular;Los Olivos
CLI01279;513;1;220.9;1;1;1;111;2;Perdidos;27;9190.36;Regular;Los Olivos
CLI01281;135;2;159.25;3;2;1;321;3;En Riesgo;58;11539.2;Regular;Magdalena
CLI01282;20;3;1080.69;5;3;4;534;3;En Riesgo;29;3864.92;Platino;San Miguel
CLI01283;517;1;398.32;1;1;2;112;2;Perdidos;47;1376.2;Basico;Los Olivos
CLI01285;26;13;3331.16;4;5;5;455;1;Campeones;61;9107.42;Regular;San Juan de Lurigancho
CLI01286;258;3;439.52;2;3;2;232;3;En Riesgo;51;1154.93;Basico;Comas
CLI01287;182;1;232.46;3;1;1;311;3;En Riesgo;47;10601.41;Regular;Ate
CLI01288;17;4;1026.59;5;4;4;544;0;Leales;71;6260.27;Regular;Santiago de Surco
CLI01289;67;5;765.82;4;4;3;443;0;Leales;37;6244.43;Platino;San Miguel
CLI01292;161;5;1444.27;3;4;5;345;0;Leales;71;2129.62;Basico;San Miguel
CLI01295;97;7;2381.6;4;5;5;455;0;Leales;57;11376.64;Platino;San Juan de Lurigancho
CLI01296;21;5;1593.52;5;4;5;545;0;Leales;64;5514.86;Regular;San Juan de Lurigancho
CLI01298;98;3;979.7;4;3;4;434;3;En Riesgo;67;8501.34;Regular;San Borja
CLI01299;101;2;635.56;4;2;3;423;3;En Riesgo;44;3928.5;Premium;San Juan de Lurigancho
CLI01300;229;4;695.42;2;4;3;243;3;En Riesgo;53;9671.23;Platino;San Miguel
CLI01301;61;4;1030.2;4;4;4;444;0;Leales;48;5111.52;Premium;Comas
CLI01303;64;7;1779.82;4;5;5;455;0;Leales;70;3673.25;Regular;San Juan de Lurigancho
CLI01304;4;4;665.43;5;4;3;543;3;En Riesgo;73;3075.81;Regular;Magdalena
CLI01307;196;2;400.75;3;2;2;322;3;En Riesgo;73;9262.36;Premium;Comas
CLI01310;128;5;1170.28;4;4;4;444;0;Leales;69;3379.84;Platino;Ate
CLI01312;66;3;845.16;4;3;4;434;3;En Riesgo;39;8713.22;Platino;Miraflores
CLI01314;161;6;1673.87;3;5;5;355;0;Leales;21;11034.86;Platino;Magdalena
CLI01316;627;2;372.72;1;2;2;122;2;Perdidos;40;7424.68;Platino;Los Olivos
CLI01318;25;1;268.04;5;1;2;512;3;En Riesgo;50;10045.12;Regular;Miraflores
CLI01319;174;1;273.16;3;1;2;312;3;En Riesgo;18;9429.83;Platino;Santiago de Surco
CLI01320;20;4;1020.66;5;4;4;544;0;Leales;51;4069.61;Premium;Comas
CLI01321;447;2;194.15;1;2;1;121;2;Perdidos;58;7132.56;Platino;Ate
CLI01323;550;1;394.39;1;1;2;112;2;Perdidos;36;6040.98;Premium;San Miguel
CLI01324;129;4;876.58;4;4;4;444;3;En Riesgo;35;7127.28;Platino;San Juan de Lurigancho
CLI01328;23;3;464.07;5;3;2;532;3;En Riesgo;29;2914.36;Regular;Santiago de Surco
CLI01330;383;2;583.98;2;2;3;223;2;Perdidos;24;2701.52;Basico;Comas
CLI01331;12;2;401.91;5;2;2;522;3;En Riesgo;29;11983.47;Regular;Comas
CLI01332;395;2;463.33;1;2;2;122;2;Perdidos;51;4291.81;Regular;San Miguel
CLI01333;78;2;727.19;4;2;3;423;3;En Riesgo;24;3398.68;Platino;Ate
CLI01334;124;11;2757.04;4;5;5;455;1;Campeones;52;1398.92;Basico;Comas
CLI01336;158;12;3302.25;3;5;5;355;1;Campeones;27;3233.82;Platino;Santiago de Surco
CLI01337;552;1;535.32;1;1;3;113;2;Perdidos;32;4680.69;Premium;Comas
CLI01338;303;1;380.7;2;1;2;212;2;Perdidos;54;5512.55;Regular;Santiago de Surco
CLI01339;314;2;262.58;2;2;2;222;2;Perdidos;62;11208.92;Platino;Miraflores
CLI01340;5;4;759.54;5;4;3;543;3;En Riesgo;39;10858.09;Platino;Miraflores
CLI01341;388;1;105.41;1;1;1;111;2;Perdidos;24;8981.4;Premium;Magdalena
CLI01344;14;2;365.72;5;2;2;522;3;En Riesgo;70;5054.55;Regular;Comas
CLI01345;5;9;1721.16;5;5;5;555;0;Leales;31;11508.53;Platino;San Juan de Lurigancho
CLI01347;546;1;243.84;1;1;1;111;2;Perdidos;55;1635.99;Basico;San Miguel
CLI01348;44;3;654.58;4;3;3;433;3;En Riesgo;39;10296.37;Premium;Miraflores
CLI01349;13;8;2324.68;5;5;5;555;1;Campeones;46;9411.79;Premium;Santiago de Surco
CLI01351;181;3;605.47;3;3;3;333;3;En Riesgo;56;6919.23;Regular;Miraflores
CLI01354;31;2;329.59;4;2;2;422;3;En Riesgo;68;10024.06;Premium;Comas
CLI01356;34;5;1723.61;4;4;5;445;0;Leales;32;10659.39;Platino;Magdalena
CLI01357;549;1;107.87;1;1;1;111;2;Perdidos;26;2512.33;Basico;Magdalena
CLI01358;729;1;245.68;1;1;2;112;2;Perdidos;65;1296.44;Basico;San Miguel
